項目名,項目ID,属性,属性チェック,桁数,空白を削除する,暦書式,暦エラータイプ,レコード出力タイプ,最終出力タイプ,最終出力値,全角,大文字,項目出力
WK_SO_IMPORT_UNIQUEID,1 受注ワーク取込ユニークID,X: 文字列,チェックしない,0,いいえ,,エラー終了する,無条件に出力する,空のままなにもしない,,全角⇒半角変換,大文字⇒小文字変換,いいえ
IF_TYPE,2 ○IF種類,X: 文字列,チェックしない,0,いいえ,,エラー終了する,無条件に出力する,空のままなにもしない,,全角⇒半角変換,大文字⇒小文字変換,はい
EXEC_TIMES,3 ○実行回数,X: 文字列,チェックしない,0,いいえ,,エラー終了する,無条件に出力する,固定値を出力する,1,全角⇒半角変換,大文字⇒小文字変換,はい
IMPORT_SEQNO,4 ○取込連番,X: 文字列,チェックしない,0,いいえ,,エラー終了する,無条件に出力する,空のままなにもしない,,全角⇒半角変換,大文字⇒小文字変換,はい
DTIL_IMPORT_SEQNO,5 ○明細取込連番,X: 文字列,チェックしない,0,いいえ,,エラー終了する,無条件に出力する,空のままなにもしない,,全角⇒半角変換,大文字⇒小文字変換,はい
WK_EOS_CUST_CODE,6 ○EOS得意先コード,X: 文字列,チェックしない,0,いいえ,,エラー終了する,無条件に出力する,空のままなにもしない,,全角⇒半角変換,大文字⇒小文字変換,はい
WK_CUST_AL_COMP_CODE,7 取引先当社コード,X: 文字列,チェックしない,0,いいえ,,エラー終了する,無条件に出力する,空のままなにもしない,,全角⇒半角変換,大文字⇒小文字変換,はい
WK_HC_CODE,8 ○ホームセンターコード,X: 文字列,チェックしない,0,いいえ,,エラー終了する,無条件に出力する,空のままなにもしない,,全角⇒半角変換,大文字⇒小文字変換,はい
WK_STORE_CODE,9 ○店コード,X: 文字列,チェックしない,0,いいえ,,エラー終了する,無条件に出力する,空のままなにもしない,,全角⇒半角変換,大文字⇒小文字変換,はい
WK_SUPPLY_STORE_CODE,10 ○納入先店コード,X: 文字列,チェックしない,0,いいえ,,エラー終了する,無条件に出力する,空のままなにもしない,,全角⇒半角変換,大文字⇒小文字変換,はい
WK_TRANSACT_NO,11 ○取引番号,X: 文字列,チェックしない,0,いいえ,,エラー終了する,無条件に出力する,空のままなにもしない,,全角⇒半角変換,大文字⇒小文字変換,はい
WK_TRANSACT_DTIL_NO,12 ○取引明細番号,X: 文字列,チェックしない,0,いいえ,,エラー終了する,無条件に出力する,空のままなにもしない,,全角⇒半角変換,大文字⇒小文字変換,はい
WK_TRANSACT_ASSOCIATE_NO,13 取引付属番号,X: 文字列,チェックしない,0,いいえ,,エラー終了する,無条件に出力する,空のままなにもしない,,全角⇒半角変換,大文字⇒小文字変換,はい
WK_TRANSACT_ASSOCIATE_DTIL_NO,14 取引付属明細番号,X: 文字列,チェックしない,0,いいえ,,エラー終了する,無条件に出力する,空のままなにもしない,,全角⇒半角変換,大文字⇒小文字変換,はい
WK_CUST_SO_NO,15 ○客注番号,X: 文字列,チェックしない,0,いいえ,,エラー終了する,無条件に出力する,空のままなにもしない,,全角⇒半角変換,大文字⇒小文字変換,はい
WK_RECEIVE_RECORD_TYPE,16 受信レコード区分,X: 文字列,チェックしない,0,いいえ,,エラー終了する,無条件に出力する,空のままなにもしない,,全角⇒半角変換,大文字⇒小文字変換,はい
WK_RECEIVE_DATA_CATEGORY_CODE,17 受信データ種別コード,X: 文字列,チェックしない,0,いいえ,,エラー終了する,無条件に出力する,空のままなにもしない,,全角⇒半角変換,大文字⇒小文字変換,はい
WK_SO_DATE,18 ○受注日,Y: 年月日(自由書式),チェックしない,0,いいえ,yyyy/MM/dd,エラー終了する,無条件に出力する,日付と時刻を出力する,yyyy/MM/dd,全角⇒半角変換,大文字⇒小文字変換,はい
WK_PO_DATE,19 発注日,Y: 年月日(自由書式),チェックしない,0,いいえ,yyyy/MM/dd,エラー終了する,無条件に出力する,空のままなにもしない,,全角⇒半角変換,大文字⇒小文字変換,はい
WK_SUPPLY_DATE,20 ○納入日,Y: 年月日(自由書式),チェックしない,0,いいえ,yyyy/MM/dd,エラー終了する,無条件に出力する,空のままなにもしない,,全角⇒半角変換,大文字⇒小文字変換,はい
WK_SP_PRICE_STT_DATE,21 特値単価開始日,Y: 年月日(自由書式),チェックしない,0,いいえ,yyyy/MM/dd,エラー終了する,無条件に出力する,空のままなにもしない,,全角⇒半角変換,大文字⇒小文字変換,はい
WK_SP_PRICE_END_DATE,22 特値単価終了日,Y: 年月日(自由書式),チェックしない,0,いいえ,yyyy/MM/dd,エラー終了する,無条件に出力する,空のままなにもしない,,全角⇒半角変換,大文字⇒小文字変換,はい
WK_SHA_CODE,23 社コード,X: 文字列,チェックしない,0,いいえ,,エラー終了する,無条件に出力する,空のままなにもしない,,全角⇒半角変換,大文字⇒小文字変換,はい
WK_CLASS_CODE,24 ○分類コード,X: 文字列,チェックしない,0,いいえ,,エラー終了する,無条件に出力する,空のままなにもしない,,全角⇒半角変換,大文字⇒小文字変換,はい
WK_SLIP_TYPE,25 ○伝票区分,X: 文字列,チェックしない,0,いいえ,,エラー終了する,無条件に出力する,空のままなにもしない,,全角⇒半角変換,大文字⇒小文字変換,はい
WK_DELI_TYPE1,26 便配達区分,X: 文字列,チェックしない,0,いいえ,,エラー終了する,無条件に出力する,空のままなにもしない,,全角⇒半角変換,大文字⇒小文字変換,はい
WK_SHA_NAME,27 社名,X: 文字列,チェックしない,0,いいえ,,エラー終了する,無条件に出力する,空のままなにもしない,,全角⇒半角変換,大文字⇒小文字変換,はい
WK_STORE_NAME,28 店名,X: 文字列,チェックしない,0,いいえ,,エラー終了する,無条件に出力する,空のままなにもしない,,全角⇒半角変換,大文字⇒小文字変換,はい
